You are named what, YOU NAME
How tall are you, YOU HOW-TALL 
Does your dad have blue eyes, YOUR DAD EYES BLUE 
Do you think my shoes are ugly, MY SHOES YOU THINK UGLY 
Do you ride the bus to school, BUS YOU RIDE-IN SCHOOL YOU 
How often do you go to the dentist, YOU GO DENTIST HOW OFTEN 
How many jobs have you applied for previously, JOB YOU APPLY BEFORE HOW-MANY 
How often do you get your haircut, YOU HAIRCUT HOW OFTEN 
Why are most postal employees thin, MOST POST-OFFICE WORKER THIN WHY 
Who is your supervisor, YOUR SUPERVISOR WHO 
Why do bosses fire employees, BOSS FIRE WORKER WHY 
Why do pilots use sunglasses, PILOT USE S-U-N GLASSES WHY 
What do you enjoy doing, YOU ENJOY what-DO 
Do you like to dance, YOU LIKE DANCE 
Do you like to fish, YOU LIKE FISHING 
Do you wish you were an attorney, YOU WISH your-SELF LAWYER 
Does your church send out missionaries, YOUR CHURCH SEND MISSIONARY 
Was your dad in the Army, YOUR DAD ARMY BEFORE 
Does your house need painting, YOUR HOUSE NEED PAINT 
How many pages is your resume, YOUR RESUME HOW-MANY PAGE 
Can you run your own business, CAN YOU MANAGE YOUR-SELF BUSINESS 
Have you registered for school next year, next-YEAR SCHOOL REGISTER FINISH YOU 
What is your worst class, YOUR WORST CLASS WHAT 
Does it have to be dark for you to sleep, FOR YOU SLEEP MUST DARK 
Do you like gardening, YOU LIKE TAKE-CARE-OF PLANT YOU 
How have you been doing, HOW YOU UP-TO-NOW 
What do you not care about, TOPIC YOU DON'T CARE WHAT 
When did you start learning how to sign, YOU START LEARN LEARN SIGN WHEN 
Do you keep wet wipes in your car, WET-WIPES YOU KEEP CAR 
If your dog gets sick do you take it to the veterinarian, SUPPOSE YOUR DOG SICK YOU CARRY VET 
Have you met my brother, You-MEET MY BROTHER YOU 
Is this yours, THIS YOUR
How do you sign they, HOW YOU SIGN T-H-E-Y 
How do you sign all, HOW YOU SIGN A-L-L 
Who is he, HE WHO 
Do you want more children, WANT MORE CHILDREN YOU 
Do you need to go to the bathroom, YOU NEED BATHROOM 
Do you think I sign bad, YOU THINK I SIGN BAD 
How do you sign the word fine, HOW SIGN F-I-N-E 
Name something that is black and white, NAME SOMETHING ITSELF BLACK WHITE 
Have you seen the movie Shrek, YOU FINISH WATCH MOVIE S-H-R-E-K 
Do you think that someday you will teach ASL, YOU THINK FUTURE YOU TEACH ASL 
How do you do the sign wait, HOW SIGN W-A-I-T 
When did you move, YOU MOVE WHEN 
Do you like to eat green apples, APPLE GREEN YOU LIKE EAT 
Do you like green eggs and ham, GREEN EGG AND H-A-M YOU LIKE YOU 
Are you full, YOU FULL 
Do you like to eat popcorn at the movies, SUPPOSE YOU GO MOVIE YOU LIKE EAT POPCORN 
Do you like to eat popcorn, YOU LIKE EAT POPCORN 
Do you have a backpack, BACKPACK YOU HAVE 
What kind of hearing aid battery do you use, YOUR HEARING-AID BATTERY WHAT-KIND 
What time does your mom pick you up after school, SCHOOL FINISH YOUR MOM PICK-UP YOU what-TIME 
Does your backpack have a zipper, YOUR BACKPACK HAVE ZIP 
Which do you prefer taking a bath or taking a shower, BATH SHOWER YOU PREFER WHICH 
Does your bathroom have a tub, YOUR BATHROOM HAVE T-U-B 
Do you have a garage, GARAGE HAVE 
Did you shower yesterday, YESTERDAY YOU SHOWER 
What color is your sink, YOUR S-I-N-K COLOR 
How and where do we get milk, MILK WHERE FROM HOW GET 
What do dogs like to chase, NAME SOMETHING DOG CHASE 
Do you know the teacher's wife's name, TEACHER HIS WIFE YOU KNOW NAME 
Do you have a pet, HAVE PET YOU 
Do some cats like water, SOME CAT LIKE WATER 
Do you look like your father, YOU LOOK-LIKE YOUR DAD 
Have you ever taken a cooking class, COOK CLASS YOU PAST TAKE 
What time to you go to your ASL class, YOU GO ASL CLASS what-TIME 
What time to you go to your ASL class, YOU GO ASL CLASS what-TIME 
Do birds like to eat fish, BIRD LIKE EAT FISH 
Do horses like to eat fish, HORSE LIKE EAT FISH 
Is your bedroom upstairs, YOUR BEDROOM UPSTAIRS 
Do you think a cow would make a good pet, YOU THINK COW GOOD PET 
What is your favorite book, YOUR FAVORITE BOOK NAME 
Do you always go to class on time, YOU GO CLASS ON TIME ALWAYS 
Do you have a cat and a dog, YOU HAVE DOG AND CAT YOU 
Is anyone in your family deaf, ANY YOUR FAMILY DEAF 
Are you going back home after class, CLASS FINISH #BACK HOME YOU 
How do you feel, HOW YOU FEEL 
Are you able to use the phone, PHONE CAN YOU 
Name a book that you think is wonderful, BOOK YOU THINK WONDERFUL NAME 
Is your bedroom a little bit dirty, YOUR BEDROOM DIRTY LITTLE-BIT 
Do you know how to make soup, SOUP YOU KNOW HOW MAKE 
You never eat candy, YOU NEVER EAT CANDY YOU 
Do you have a new car, NEW CAR HAVE YOU 
Would you rather have pizza or a hamburger, YOU PREFER PIZZA OR HAMBURGER 
Do you like to meet new people, YOU LIKE MEET NEW PEOPLE YOU 
When do you feel anxious, YOU FEEL ANXIOUS WHEN 
Do you like to chat with deaf people, YOU LIKE CHAT-WITH DEAF 
What type of people do you like, WHAT-KIND PEOPLE YOU LIKE 
Do you like to learn new things, LEARN NEW THING YOU LIKE 
Do you work in the afternoon, AFTERNOON WORK YOU 
Did you brush your teeth today, TODAY YOU FINISH BRUSH-TEETH YOU 
Do you think life is fair for all people, YOU THINK LIFE FAIR ALL PEOPLE 
Do you shower everyday, EVERYDAY YOU SHOWER 
How many hours are in a day, HOW-MANY HOUR EQUAL ONE DAY 
How many minutes are in an hour, HOW-MANY MINUTE EQUAL ONE-HOUR 
How many days are in a month, HOW-MANY DAY EQUAL ONE MONTH 
How many months are in a year, HOW-MANY MONTH EQUAL ONE YEAR 
Do you like Mondays, YOU LIKE MONDAY 
Why are Tuesday nights a good time to go to the movies, MOVIE GO TUESDAY NIGHT GOOD WHY 
How many days are in a week, ONE WEEK HAVE HOW-MANY DAYS 
Which days are you in school, YOU SCHOOL WHICH DAY 
"On which day do people go to church", PEOPLE GO CHURCH WHICH DAY 
What did you do last weekend, PAST WEEKEND WHAT-DO YOU 
How many times did you eat yesterday, YESTERDAY HOW-MANY TIME YOU EAT 
Are you coming to school next week, NEXT-WEEK YOU COME SCHOOL 
Do you like to read research articles, RESEARCH ARTICLE YOU LIKE READ 
Did your dad go to college, YOUR DAD COLLEGE 
When did you graduate high school, HIGH-SCHOOL YOU GRADUATE WHEN 
Do you think this class is hard, YOU THINK THIS CLASS HARD 
Do you like TRUE/FALSE tests, TRUE FALSE TEST YOU LIKE 
Do you like to write research papers, RESEARCH PAPER YOU LIKE WRITE 
Do you have a list of interpreters, INTERPRETER LIST YOU HAVE 
When will you graduate from college, COLLEGE YOU GRADUATE WHEN 
Do you think this class is easy, YOU THINK THIS CLASS EASY 
Did you attend a school for the Deaf, DEAF-SCHOOL YOU 
Do you like cold weather, COLD WEATHER YOU LIKE 
What time do you wake up during summer vacation, SUMMER VACATION YOU WAKE UP what-TIME 
Does it snow here in the winter, WINTER HERE SNOW 
Do you keep pictures of your old boyfriends, OLD BOY-FRIEND PICTURE YOU KEEP 
Do you have your own office, YOU HAVE your-SELF OFFICE 
Do you like to play Chess, C-H-E-S-S YOU LIKE PLAY 
Do you like to wear dresses, DRESS YOU LIKE WEAR YOU 
Do you think it will freeze tonight, YOU THINK TONIGHT FREEZE 
If you work how many days of sick-leave do you get, WORK YOU SICK DAY VACATION YOU CAN HOW-MANY 
Do you like warm cookies and milk, WARM COOKIE AND MILK YOU LIKE 
Do you like to sleep in, SLEEP-IN YOU LIKE 
What time did you wake up yesterday, YESTERDAY YOU WAKE-UP what-TIME 
Do you like hot weather, HOT WEATHER YOU LIKE 
What time do you go to bed during summer vacation, SUMMER VACATION YOU GO-TO-BED what-TIME 
What is your favorite time of year, YOUR FAVORITE TIME YEAR WHAT 
Do you feel sick, FEEL SICK YOU 
Is your refrigerator full, YOUR REFRIGERATOR FULL 
Do you like cold pizza, COLD PIZZA YOU LIKE 
What are you majoring in, YOUR MAJOR WHAT 
Do you use a babysitter, YOU USE BABYSITTER 
What is your boss's name, YOUR BOSS NAME 
Do you like to cook, YOU LIKE COOK 
Is your grandpa a farmer, YOUR GRANDPA FARMER 
What color is your sink, YOUR S-I-N-K what-COLOR 
What is your neighbor's name, YOUR NEIGHBOR NAME WHAT 
Do you have a picture of your family, PICTURE YOUR FAMILY YOU HAVE 
Who is president of the United States, U-S PRESIDENT WHO 
How much should you tip a waitress, WAITRESS HOW-MUCH SHOULD T-I-P 
Do you like to read the newspaper, NEWSPAPER YOU LIKE READ 
Which computer program or programs do you use, WHICH COMPUTER PROGRAM YOU USE 
Do you wish you had your own secretary, YOU WISH YOURSELF HAVE SECRETARY 
What is the sign for scientist, HOW SIGN S-C-I-E-N-T-I-S-T 
Do you have a doctor's appointment, DOCTOR APPOINTMENT YOU HAVE 
Which do you like best spring summer or fall, WHICH YOU LIKE BEST SPRING SUMMER FALL 
What did you do last weekend, PAST WEEKEND DO-what 
What was the color of your first car, YOUR FIRST CAR what-COLOR 
Who was the last child in your family, YOUR FAMILY LAST CHILD WHO 
What is your last class today, TODAY YOUR LAST CLASS WHAT 
Are you always late to class, LATE CLASS ALWAYS YOU 
Do you know where the center for the deaf is, YOU KNOW WHERE DEAF CENTER YOU 
What time did you go to bed last Saturday, PAST SATURDAY YOU GO-TO-BED what-TIME 
Who does most of the cooking in your family, YOUR FAMILY WHO COOK MOST 
What class do you have next, YOUR NEXT CLASS WHAT 
Haven't you changed your hearing aid battery yet, HEARING-AID BATTERY YOU NOT-YET CHANGE YOU 
How often do you go to the library, LIBRARY HOW OFTEN YOU GO 
Will you be graduating soon, YOU GRADUATE SOON YOU 
What did you do recently, YOU RECENT what-DO 
Do you like bananas, YOU LIKE BANANA 
What did you have for breakfast, NOW-MORNING EAT WHAT 
What did you have for dinner yesterday, YESTERDAY NIGHT EAT WHAT 
How do you make French toast, FRENCH-TOAST HOW MAKE 
How often do you often eat grapes, GRAPES YOU EAT HOW OFTEN YOU 
Do you like ketchup on your eggs, SUPPOSE EAT EGG LIKE KETCHUP YOU 
Do you want mayonnaise on your hamburger, YOUR HAMBURGER WANT M-A-Y-O YOU 
Do you want mustard on your hotdog, YOUR HOTDOG WANT MUSTARD YOU 
Do you like pepper in your soup, SOUP YOU LIKE PEPPER 
Do you like pickles on your hamburger, YOUR HAMBURGER YOU LIKE PICKLE 
Do you think salt is bad for you, YOU THINK SALT BAD FOR YOU 
What brand of soap do you use, SOAP YOU USE what-NAME 
What kind of cereal do you like, CEREAL YOU LIKE WHAT-KIND 
Do you have a bike, BICYCLE HAVE YOU 
Have you been on a boat before, BOAT BEFORE YOU 
Do you think finding new addresses is easy, YOU THINK FIND NEW ADDRESS EASY 
Have you ever been on an airplane before, AIRPLANE BEFORE YOU 
Have you ever ridden a horse before, HORSE YOU RIDE-ON BEFORE 
Do you have a motorcycle, MOTORCYCLE HAVE YOU 
Why do you practice signing, YOU PRACTICE SIGN WHY 
How do you sign "rocket", HOW YOU SIGN "R-O-C-K-E-T" 
Are you looking for work, YOU SEARCH WORK YOU 
Is there a subway in your city, YOUR CITY HAVE SUBWAY 
Do you like to travel by train, TRAIN TRAVEL YOU LIKE 
What scares you, YOU AFRAID WHAT 
Do you think school is boring, YOU THINK SCHOOL BORING 
Do you think firemen are brave, YOU THINK FIREMEN BRAVE 
Do you like to chat on the phone, YOU LIKE CHAT PHONE 
Do you embarrass easily, EMBARRASS EASY YOU 
When do you feel frustrated, YOU FEEL FRUSTRATED WHEN 
When do you feel happy, YOU FEEL HAPPY WHEN 
Have you recently insulted anyone, RECENT YOU INSULT ANY-ONE 
Do you sometimes feel lonely, YOU SOMETIMES FEEL LONELY YOU 
Why are you mad, YOU MAD FOR-FOR 
What are you proud about, YOU PROUD ABOUT WHAT 
Do you like surprise tests, SURPRISE TEST YOU LIKE 
What is the name of a book that you think is interesting, BOOK YOU THINK INTERESTING what-NAME 
Who do you think is cute, YOU THINK CUTE WHO 
Does your mom have brown eyes, YOUR MOM EYES BROWN 
Do you look like your dad, YOU LOOK-LIKE YOUR DAD
