English,ASL Gloss
Ella Mae Lentz is a Deaf American teacher poet advocate and author., E-L-L-A M-A-E L-E-N-T-Z HERSELF DEAF AMERICAN TEACHER POET ADVOCATE AUTHOR.
Thank you for the nice gift., THANK YOU NICE GIFT.
My favorite time to swim is 8 in the morning., MY FAVORITE TIME SWIM WHEN? 8 MORNING.
We have to practice together for our dance competition., OUR DANCE COMPETITION PRACTICE TOGETHER WE SHOULD.
I like to play the drums as loudly as I can., DRUMS PLAY LOUD I LIKE.
I like to take the train to Chicago., GO-TO CHICAGO HOW? TRAIN PREFER I.
I visited Gallaudet University two years ago., 2 YEARS AGO GALLAUDET UNIVERSITY I VISIT.
Today the wind is 25 mph., TODAY WIND 25 #MPH.
I am invited to 3 weddings this summer., THIS SUMMER 3 WEDDINGS INVITE I.
I have to work at 1 pm today., TIME 1 PM ME DO-DO? GO WORK.
You need to take a bath!, BATH NEED YOU!
I got good books from the library., ME GO LIBRARY GET WHAT? GOOD BOOKS.
I need to buy new comfortable shoes before I go to Disney World., NEW COMFORTABLE SHOES NEED BUY I WHY? DISNEY WORLD GO-TO WILL I.
My aunt makes the best cakes!, BEST CAKES MAKE WHO? MY AUNT.
M&M's are my favorite kind of candy., MY FAVORITE CANDY WHAT? M-M.
I need to buy a new car soon., SOON NEW CAR BUY I NEED.
My cat weighs 18 pounds., MY CAT WEIGH HOW MUCH? 18 POUNDS.
Do you like chocolate ice cream?, CHOCOLATE ICE CREAM YOU LIKE?
What kind of computer do you prefer? A Mac or a PC?, COMPUTER YOU PREFER WHICH? M-A-C P-C WHICH?
I want to cook a dinner for you., COOK DINNER FOR YOU I WANT.
I love to make and eat chocolate chip cookies!, CHOCOLATE C-H-I-P COOKIES BAKE EAT I ENJOY.
I have a dentist appointment tomorrow., TOMORROW DENTIST APPOINTMENT I HAVE.
Your room is dirty please clean it., YOUR ROOM DIRTY CLEAN PLEASE.
I am going out to dinner with friends Friday night., FRIDAY NIGHT ME DO-DO? GO-OUT EAT WITH FRIENDS.
Granville Redmond was a deaf artist. He was friends with Charlie Chaplin and gave him tips from ASL to use when acting in silent films., G-R-A-N-V-I-L-L-E R-E-D-M-O-N-D HIMSELF DEAF ARTIST. HE FRIEND WHO? C-H-A-R-L-I-E C-H-A-P-L-I-N. HE TEACH ASL FOR-FOR? USE DURING SILENT MOVIES.
Please give the book to the librarian., LIBRARIAN BOOK GIVE-TO PLEASE.
My son is going to law school at the University of Michigan., LAW SCHOOL MY SON GO WHERE? UNIVERSITY M-I-C-H.
I like to drink a big glass of milk after exercising., FINISH EXERCISE MILK BIG GLASS DRINK I LIKE.
I am taking a yoga class on Monday., MONDAY Y-O-G-A CLASS ME TAKE.
What are you doing tomorrow night?, TOMORROW NIGHT YOU DO-DO?
My grandma bakes an apple pie every year for my birthday., EVERY YEAR MY BIRTHDAY APPLE PIE MY GRANDMA BAKE.
My uncle is very good at telling tales of his life on the farm., TALES MY UNCLE GOOD ABOUT WHAT? GROW UP FARM.
I want to eat a chef salad., C-H-E-F SALAD EAT I WANT.
My favorite class is science., MY FAVORITE CLASS WHAT? SCIENCE.
If it is snowing you should drive slowly., IF SNOW DRIVE SLOW YOU SHOULD.
I love the smell of the flowers in the spring., SPRING FLOWERS SMELL I LOVE.
I have a new stepmother., NEW S-T-E-P MOTHER I HAVE.
Do you want to put sugar in your coffee?, YOUR COFFEE SUGAR PUT-IN YOU WANT?
Would you like a cup of tea?, CUP TEA YOU WANT?
I have a fake tooth., FAKE TOOTH I HAVE.
Sir Charles Scott Sherrington was a hard of hearing scientist who received the Nobel Prize in 1932 for helping shape our understanding of the central nervous system., S-I-R C-H-A-R-L-E-S S-C-O-T-T S-H-E-R-R-I-N-G-T-O-N HIMSELF HARD-OF-HEARING SCIENTIST. YEAR 1932 HE RECEIVED N-O-B-E-L P-R-I-Z-E MEDAL WHY? HE HELP PEOPLE UNDERSTAND C-E-N-T-R-A-L N-E-R-V-O-U-S S-Y-S-T-E-M.
I plan to ski in the winter., WINTER SKI I PLAN.
My son is not happy I bought the wrong cereal., MY SON NOT HAPPY WHY WRONG C-E-R-E-A-L I BUY.
The pet store has 10 workers., P-E-T STORE WORKERS HOW MANY? 10.
That is an ugly shirt!, UGLY SHIRT THAT (POINT)!
I ate an egg with toast for breakfast., BREAKFAST EGG TOAST I EAT FINISH.
I collect shiny pennies., SHINY PENNIES I COLLECT.
I am looking forward to summer because I can ride my bike., SUMMER I LOOK-FORWARD WHY? RIDE-BIKE.
My daughter takes dance lessons every Saturday morning., EVERY SATURDAY MORNING DANCE LESSONS MY DAUGHTER TAKE.
Do you want to walk to the store to buy ice cream?, STORE YOU WANT WALK BUY ICE CREAM?
I can't wait for my vacation so I can relax!, MY VACATION I CAN'T WAIT WHY? ME CAN RELAX!
I drink 8 glasses of water everyday., EVERYDAY 8 GLASSES WATER I DRINK.
I save money at the grocery store by using coupons., GROCERY STORE I SAVE MONEY HOW? USE C-O-U-P-O-N-S .
Our teacher requires me to be early to class., CLASS ARRIVE EARLY MY TEACHER REQUIRES.
Andrew Foster was a famous Deaf African American who was a reverend educator and missionary. He established the first school for the deaf in Africa., A-N-D-R-E-W F-O-S-T-E-R HIMSELF FAMOUS DEAF BLACK MINISTER TEACHER MISSIONARY. HE SETUP FIRST DEAF SCHOOL WHERE? AFRICA.
Can you order me a cheeseburger?, CHEESEBURGER ORDER FOR ME CAN YOU?
Your idea is absurd!, YOUR IDEA ABSURD!
I eat one apple a day., EVERYDAY DO-DO ME? EAT ONE APPLE.
I am terrible at archery., ARCHERY ME TERRIBLE.
My son plans to join the armed forces after high school., FINISH H-S ARMED FORCES JOIN MY SON PLANS.
The soccer team lost but they still had a good attitude., SOCCER TEAM ALL-OF-THEM LOST DOESN'T MATTER STILL GOOD ATTITUDE.
I like bacon and eggs for breakfast., BREAKFAST BACON EGGS EAT I LIKE I.
I love to bake chocolate chip cookies!, CHOCOLATE C-H-I-P COOKIES BAKE I LOVE!
We had a big barbecue on the 4th of July., JULY FOURTH BIG B-B-Q WE HOST.
We saw a big black bear and her two babies in the woods yesterday., YESTERDAY WOODS BIG BLACK BEAR HER TWO C-U-B-S WE SAW.
My uncle always has a gray beard., GRAY BEARD MY UNCLE ALWAYS HAS.
I just bought a blueberry candle., RECENTLY BLUEBERRY CANDLE I BUY.
You have to take a boat to get to Mackinac Island., M-A-C-K-I-N-A-C ISLAND GO-TO HOW? BOAT MUST YOU.
Sometimes people think the deaf use braille but that is not true only blind people use braille., SOMETIMES PEOPLE THINK DEAF PEOPLE USE BRAILLE. NO! ONLY BLIND PEOPLE USE BRAILLE.
I eat oatmeal for breakfast everyday., EVERYDAY BREAKFAST O-A-T-M-E-A-L EAT I.
My car broke down on the bridge., BRIDGE MY CAR BROKE-DOWN.
Look at all the beautiful butterflies!, BEAUTIFUL BUTTERFLIES LOOK-AT!
I bought a new camera before my vacation., BEFORE VACATION NEW CAMERA BOUGHT I.
I work as a camp counselor every summer., EVERY SUMMER CAMP COUNSELOR I WORK.
I have many candles in my house., MY HOUSE MANY CANDLES HAVE.
Teaching my kids to help other people builds good character., MY KIDS I TEACH HELP HELP OTHER PEOPLE WHY? DEVELOPS GOOD CHARACTER.
There is no gum chewing in class., CLASS CHEW-GUM NOT ALLOW.
What color is your new car?, YOUR NEW CAR COLOR WHAT?
Louise Fletcher is a CODA and was the third actress in history to win an Academy Award BAFTA Award and Golden Globe Award for a single performance., L-O-U-I-S-E F-L-E-T-C-H-E-R SHE C-O-D-A HERSELF ACTRESS SHE WON THREE AWARDS ONE-OF-THREE O-S-C-A-R TWO-OF-THREE B-A-F-T-A THREE-OF-THREE G-L-O-D-E-N G-L-O-B-E FOR ONE MOVIE QUOTE O-N-E F-L-E-W O-V-E-R T-H-E C-U-C-K-O-O'S N-E-S-T QUOTE.
The kids like to eat crackers and cheese., CRACKERS CHEESE KIDS LIKE EAT.
I am more productive when my desk is clean., MY DESK CLEAN I MORE PRODUCTIVE.
Detectives investigate crime., DETECTIVES DO-DO? INVESTIGATE CRIME.
Everyone should own a good dictionary., GOOD DICTIONARY EVERYONE SHOULD #OWN.
I have a Bachelor's degree in physics., MY #BA DEGREE MAJOR WHAT? PHYSICS.
Five little ducks are playing in the water., WATER DUCKS FIVE LITTLE LITTLE LITTLE LITTLE LITTLE PLAY AROUND.
Yesterday I saw a bald eagle outside my window., YESTERDAY HAPPEN WHAT? WINDOW I LOOK SEE EAGLE.
My family is going to grandma's house for Easter., EASTER GRANDMA'S HOUSE MY FAMILY GO-TO.
The elevator got stuck on the 3rd floor., THIRD FLOOR ELEVATOR STUCK.
I have no energy I need to eat., I NEED EAT WHY? I HAVE NO ENERGY.
Five plus five equals ten., 5 plus 5 equals 10.
My best friend has one blue eye and one brown eye., ONE BLUE EYE ONE BROWN EYE MY BEST FRIEND HAS.
Marlee Matlin is a famous Deaf Actress. She won an Academy Award and a Golden Globe for her role in the movie Children of a Lesser God., M-A-R-L-E-E M-A-T-L-I-N SHE FAMOUS DEAF ACTRESS. SHE WON BOTH A-C-A-D-E-M-Y A-W-A-R-D G-O-L-D-E-N G-L-O-B-E FOR HER ROLE MOVIE QUOTE CHILDREN O-F A L-E-S-S-E-R GOD.
Cal Rodgers was a deaf pilot. He made the first transcontinental airplane flight after crashing several times along the way., C-A-L R-O-D-G-E-R-S HE DEAF PILOT HIS GOAL U-S FLY-ACROSS (FLIGHT) WRONG FLY-ACROSS CRASH LUCKY ALIVE FIX FIX FIX FLY-ACROSS CRASH STILL ALIVE FIX FIX FIX FLY-ACROSS MANY STOP STOP STOP FINALLY ARRIVE YAY.
My cat likes to chase frogs., CHASE FROGS MY CAT LIKES.
My friends and I had fun at the baseball game., BASEBALL GAME MY FRIENDS ALL-OF-US HAD #FUN.
I hope when I go to Las Vegas that I get a 7 or 11 when I roll the dice., I GO LAS VEGAS DICE (ROLL DICE) HOPE HIT WHAT? 7 11.
We put in a garden every summer., EVERY SUMMER GARDEN WE PLANT.
My father plays golf every morning., EVERY MORNING MY FATHER PLAY GOLF.
To be successful it helps to have good grammar., YOU WANT SUCCESS IMPORTANT HAVE GOOD GRAMMAR.
My niece got a pink guitar for Christmas., CHRISTMAS MY NIECE GOT WHAT? PINK GUITAR.
Halloween is scary., HALLOWEEN SCARY.
It's important to have a good handshake., GOOD HANDSHAKE IMPORTANT.
The 98 year old man is in good health because he lives in Florida., MAN OLD 98 GOOD HEALTH WHY? LIVE FLORIDA.
I heard Bill is having heart problems., HEART PROBLEMS B-I-L-L HAS I HEARD.
I have seven white horses., 7 WHITE HORSES I HAVE.
I always eat hot dogs at baseball games., BASEBALL GAMES HOT DOGS I ALWAYS EAT.
My grandfather used to hunt for deer., LONG TIME AGO MY GRANDFATHER DEER HE HUNT.
My favorite flavor of ice cream is butter pecan., ICE CREAM MY #FAV FLAVOR WHAT? BUTTER P-E-C-A-N.
Today is World Kindness Day., TODAY WHAT? WORLD KINDNESS DAY.
My dad always kisses my mom bye., MY DAD KISS MY MOM BYE ALWAYS.
I laughed and laughed during the movie because it was funny., ME LAUGH WHY? MOVIE FUNNY.
The teacher has a loud voice., TEACHER HIS VOICE LOUD.
Can you meet me for lunch?, LUNCH MEET ME CAN YOU?
I need to measure the room before I buy carpet., BEFORE C-A-R-P-E-T I BUY ROOM MEASURE I NEED.
The army captain was awarded 3 medals., ARMY CAPTAIN HONORED 3 MEDALS.
We saw Mickey Mouse on our trip to Florida., F-L-A TRIP WE SAW WHO? MICKEY MOUSE.
I like to eat microwave popcorn for a snack., S-N-A-C-K I LIKE EAT WHAT? MICROWAVE POPCORN.
I made a huge mistake!, BIG MISTAKE I!
The moon is bright tonight., TONIGHT MOON BRIGHT.
I enjoy visiting Tennessee because of their beautiful mountains., T-E-N-N I ENJOY VISIT WHY? BEAUTIFUL MOUNTAINS.
Please shave your mustache., YOUR MUSTACHE PLEASE SHAVE.
My neighbor has 8 children and 4 dogs., 8 CHILDREN 4 #DOG MY NEIGHBOR HAS.
My friend Lisa lives in a posh neighborhood., MY FRIEND L-I-S-A SHE LIVE POSH NEIGHBORHOOD.
My dream is to live near the ocean., MY DREAM WHAT? LIVE NEAR OCEAN.
Terence Parkin is a deaf swimmer from South Africa. He won the silver medal in the Olympics in 2000., T-E-R-E-N-C-E P-A-R-K-I-N HIMSELF FAMOUS DEAF SWIMMER FROM SOUTH AFRICA. 2000 OLYMPICS SILVER MEDAL HE WON.
I bought my kids new pajamas for Christmas., CHRISTMAS NEW PAJAMAS I BOUGHT MY KIDS.
I buy colorful paper clips., COLORFUL PAPER CLIPS I BUY.
I will go to my parent's house for dinner., MY PARENTS HOUSE DINNER GO WILL I.
Our country needs peace., OUR COUNTRY NEEDS WHAT? PEACE.
The best time of year to buy peaches is during the summer., BEST TIME YEAR BUY PEACHES WHEN? SUMMER.
We have several pear trees., PEAR TREES WE HAVE SEVERAL.
Thirty people will go to the family picnic next Saturday., NEXT SATURDAY FAMILY PICNIC 30 PEOPLE GO.
I have more than 100 pigs on my farm., MY FARM HAVE WHAT? MORE-THAN 100 PIGS.
Three of the most famous deaf pilots are Cal Rodgers Nellie Zabel Willhite and Rhulin Thomas., MOST FAMOUS DEAF PILOTS WHO? ONE-OF-THREE C-A-L R-O-D-G-E-R-S TWO-OF-THREE N-E-L-L-I-E Z-A-B-E-L W-I-L-L-H-I-T-E THREE-OF-THREE R-H-U-L-I-N T-H-O-M-A-S.
My daughter's bedroom is pink and white., MY DAUGHTER HER BEDROOM PINK WHITE.
I love pizza!, PIZZA I LOVE!
Men in the south tend to be very courteous., MEN LIVE SOUTH TEND-TO COURTEOUS.
My mother's baked potato soup is the BEST!, MY MOTHER HER B-A-K-E-D POTATO SOUP CHAMP (BEST).
I. King Jordan was the first Deaf President of Gallaudet University., I K-I-N-G J-O-R-D-A-N HIMSELF FIRST DEAF PRESIDENT GALLAUDET UNIVERSITY.
Christy Smith was the first deaf contestant to appear on the reality TV show Survivor., C-H-R-I-S-T-Y S-M-I-T-H HERSELF FIRST DEAF PERSON INVOLVE #TV PROGRAM TITLE S-U-R-V-I-V-O-R.
I have committed myself to training for the Boston Marathon., BOSTON M-A-R-A-T-H-O-N TRAIN I COMMIT.
My Labrador puppy is 6 months old., MY P-U-P-P-Y L-A-B OLD 6-MONTHS.
My bedroom is purple., MY BEDROOM COLOR WHAT? PURPLE.
Will you turn up the radio please?, RADIO YOU TURN-UP PLEASE.
There was a pretty rainbow after the rain showers., RAIN FINISH PRETTY RAINBOW.
My pet rat's name is Remy., MY P-E-T RAT NAME WHAT? R-E-M-Y
My ex-husband and I are never reconciling., MY EX-HUSBAND TWO-OF-US #BACK (reconcile) NEVER!
I volunteer with the Red Cross once a month., ONCE MONTH RED CROSS I VOLUNTEER.
Can you write a poem that rhymes?, POEM R-H-Y-M-E WRITE CAN YOU?
Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years., L-I-N-D-A B-O-V-E HERSELF DEAF ACTRESS. SHE ACT #TV PROGRAM S-E-S-A-M-E S-T-R-E-E-T ROLE WHAT? L-I-N-D-A T-H-E LIBRARIAN CONTINUE 31 YEARS.
My mother's favorite flower is a rose., MY MOTHER HER FAVORITE FLOWER WHAT? ROSE.
My mom will make me peanut butter and jelly sandwiches for lunch., LUNCH PEANUT BUTTER J-E-L-L-Y SANDWICHES MY MOM MAKE WILL.
Santa loves hot chocolate and cookies., SANTA LOVES HOT CHOCOLATE COOKIES.
You can't put a price on freedom., FREEDOM HAVE PRICE NONE.
I just bought a new plaid shirt., RECENTLY NEW SHIRT PLAID I BUY.
My parents live in a senior citizen community., MY PARENTS LIVE WHERE? SENIOR CITIZEN COMMUNITY.
The two of you need to share the candy bar., CANDY BAR TWO-OF-YOU NEED SHARE.
Simple recipes are the best because you don't have to buy many ingredients., SIMPLE R-E-C-I-P-E BEST WHY? MANY INGREDIENTS NOT HAVE-TO BUY.
The soldiers went to Washington D.C. today for a special memorial ceremony., TODAY WASHINGTON D.C. SOLDIERS GATHER WHAT FOR? SPECIAL MEMORIAL CEREMONY.
I want soup and salad for lunch., LUNCH SOUP SALAD I WANT.
We are having spaghetti and meatballs for dinner., DINNER SPAGHETTI MEAT B-A-L-L-S WE HAVE.
My father's side of the family is hispanic., MY FATHER HIS FAMILY STRONG HISPANIC.
Michigan has black squirrels., M-I-C-H HAS WHAT? BLACK SQUIRRELS.
Would you like a straw in your drink?, YOUR DRINK STRAW YOU WANT?
For supper we're going to have spaghetti and meatballs., SUPPER WHAT? SPAGHETTI MEAT B-A-L-L-S.
At the party there were ten cookies left so I took two., PARTY TEN COOKIES LEFT ME TOOK TWO.
Where are you going for Thanksgiving dinner?, THANKSGIVING DINNER YOU GO WHERE?
I need black thread to sew my dress., MY DRESS SEW BLACK THREAD I NEED.
Would you like a slice of tomato on your sandwich?, YOUR SANDWICH TOMATO YOU WANT ADD?
The adoption process takes a lot of time., ADOPTION PROCESS TAKES A LOT TIME.
It's about time I finished this project!, PROJECT FINISH ABOUT TIME!
Jeff Float is a deaf American swimmer who won a gold medal at the 1984 Olympics., J-E-F-F F-L-O-A-T HIMSELF AMERICAN DEAF SWIMMER 1984 OLYMPICS GOLD MEDAL HE WON.
I want to ask you another question., I HAVE ANOTHER QUESTION FOR YOU.
I enjoy going to art museums., ART M-U-S-E-U-M-S GO-TO I ENJOY.
I enjoy biking in the autumn., AUTUMN BIKING I ENJOY.
I need batteries for my new toy., MY NEW #TOY BATTERY I NEED.
I'm excited I bought a new bike., ME EXCITED WHY? NEW BIKE I BOUGHT.
Every year my boss gives me one hundred dollars for Christmas., EVERY YEAR CHRISTMAS MY BOSS GIVE ME ONE HUNDRED DOLLARS.
I started my own business., BUSINESS MY #OWN START I.
The closed captions on our TV are always on., OUR #TV #CC (captions) ALWAYS #ON.
My grandma bakes cherry pie for my birthday., FOR MY BIRTHDAY CHERRY PIE MY GRANDMA BAKES.
The coach complimented his players for working hard., PLAYERS ALL-OF-THEM THEIR COACH COMPLIMENT WHY? WORK HARD.
Who wrote the Constitution?, CONSTITUTION WHO WROTE?
I'm wearing a halloween costume to the party., PARTY I GO-TO HALLOWEEN COSTUME I WEAR.
I wish I could go to Florida now., F-L-A GO-TO NOW I WISH I COULD.
Mr. Shelton is one of my favorite customers., ONE OF MY FAVORITE CUSTOMERS WHO? M-R S-H-E-L-T-O-N .
Dr. Charles Nicolle was born hearing but became deaf by the age of 20. He was the first deaf person to receive a Nobel Prize. It was for discovering that Typhus is spread by lice., D-R C-H-A-R-L-E-S N-I-C-O-L-L-E HE BORN HEARING EAR DETERIORATE AGE 20 FULL DEAF. HE FIRST DEAF GET N-O-B-E-L P-R-I-Z-E FOR DISCOVERING T-Y-P-H-U-S OUTBREAK START HOW? FROM L-I-C-E.
As a young girl Alice Cogswell inspired her neighbor Thomas Hopkins Gallaudet to devote his life to educating the deaf and to create the American School for the Deaf. She and six other deaf children were the first students to attend the American School for the Deaf in 1817., LITTLE DEAF GIRL NAME A-L-I-C-E C-O-G-S-W-E-L-L MET NEIGHBOR HIS NAME T-H-O-M-A-S H. G-A-L-L-A-U-D-E-T GALLAUDET. HE FASCINATED HER. YEAR 1871 HE ESTABLISHED AMERICAN SCHOOL FOR DEAF. SHE AND SIX OTHER STUDENTS FIRST ENTER A-S-D.
Meb is a fast runner., FAST RUNNER WHO? M-E-B.
The homemade bread was delicious., HOMEMADE BREAD DELICIOUS.
When I was a Girl Scout I learned how to build a fire., LONG TIME AGO ME SMALL ME GIRL SCOUT FIRE LEARN HOW-TO BUILD.
My cat's favorite food is tuna., T-U-N-A MY CAT FAVORITE FOOD.
Don't forget to bring a pencil to class tomorrow., TOMORROW CLASS DON'T FORGET BRING PENCIL.
Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear. On her wedding day rice went into her left ear and when the doctor tried to take it out he punctured her eardrum. Then she was deaf in both ears. She founded the Girl Scouts when she was 51 years old because she wanted girls to have the same opportunities as boys., J-U-L-I-E-T-T-E G-O-R-D-O-N L-O-W SHE GREW-UP SICKLY RIGHT EAR DETERIORATE. LATER HER WEDDING R-I-C-E WENT-IN-THE-EAR LEFT EAR DOCTOR TRY EXTRACT OOPS PUNCTURE EAR NOW DEAF BOTH EARS. FUTURE AGE 51 SHE FOUNDED GIRL SCOUTS WHY? WANT GIRLS SAME BOYS.
My least favorite class in school is geography., GEOGRAPHY MY LEAST FAVORITE CLASS.
My goal is to finish my homework before class., MY GOAL WHAT? COMPLETE HOMEWORK BEFORE CLASS.
Stories about our ancestors are an important part of our heritage., IMPORTANT SHARE STORIES WITH CHILDREN WHY? OUR HERITAGE CHERISH.
My mechanic is popular because he is honest., MY MECHANIC POPULAR WHY? HONEST.
My grandma likes to hug everybody., EVERYBODY MY GRANDMA LIKES HUG HUG HUG.
Melissa McCarthy's movies are always humorous., M-E-L-I-S-S-A M-C-C-A-R-T-H-Y HER MOVIES ALWAYS HUMOROUS.
You need to go hunt for your running shoes., YOUR RUNNING SHOES LOOK-FOR (hunt) NEED YOU.
Next week I'm going to a workshop on self-improvement., NEXT WEEK I GO-TO WORKSHOP QUOTE SELF IMPROVEMENT.
The United States presidential inauguration is a ceremony to recognize a new president., U-S PRESIDENT INAUGURATION FOR-FOR? RECOGNIZE NEW PRESIDENT.
The novelist traveled through Europe looking for inspiration for her next novel., EUROPE WRITER TRAVEL WHY? NEED INSPIRATION FOR HER NEXT BOOK.
The man who invented the TTY was Robert Weitbrecht he was deaf., MAN WHO INVENTED #TTY (teletypewriter) HIMSELF DEAF NAME R-O-B-E-R-T W-E-I-T-B-R-E-C-H-T.
Helen Keller was a famous deaf-blind woman. She was an author lecturer and activist., H-E-L-E-N K-E-L-L-E-R H-K HERSELF FAMOUS DEAF-BLIND WOMAN. SHE AUTHOR TWO OF THREE LECTURER THREE OF THREE ACTIVIST.
